id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
903642083226784488,La Jolla Suite with Ocean View Patio and Backyard,482226208,Fer,,La Jolla,32.82240712586625,-117.27871299435549,Private room,292,1,5,2024-11-20,0.28,2,238,4,STR-00371L
903748951967695849,Cute & Spacious 'Live & Work' Studio (Pets OK),73115536,Laura,,Clairemont Mesa,32.81988,-117.17313,Entire home/apt,80,31,1,2024-01-18,0.09,1,113,1,
903908707310165411,Cozy San Diego Getaway w/ Fire-pit | Near Downtown,393769163,Short-Term Vacation Rentals LLC,,Memorial,32.70556,-117.13895,Entire home/apt,83,2,55,2024-12-03,2.90,6,343,18,"STR-08220L, 649466"
903915807770209359,"Hot tub,sauna,ice bath,6ft fenced yard EV charger",55331200,Erik,,Pacific Beach,32.798215410679425,-117.23326697538023,Entire home/apt,153,2,9,2024-12-20,4.35,1,32,9,"STR-10700L, 657561"
904230798878733387,Perfect Family Getaway at a Stunning Coastal Home!,517692618,Ginny,,Mission Bay,32.7660767,-117.2519694,Entire home/apt,,5,5,2024-08-03,0.28,2,237,4,"STR-00676L, 518822"
904270218390644646,#3544 Waterfront with patio - 1 month min,509640381,Pacific Sands Vacations,,Mission Bay,32.779263,-117.2518608,Entire home/apt,,31,0,,,17,30,0,
904276627967513897,14th Floor Amazing Views,106624947,Robert,,Core,32.71764131265692,-117.15764610866741,Entire home/apt,143,31,0,,,1,362,0,
904317165657088833,"#709 - Steps From Ocean, Patio, AC",509640381,Pacific Sands Vacations,,Mission Bay,32.7859283,-117.2539081,Entire home/apt,440,1,0,,,17,62,0,"STR-03487L, 511560"
904329543981408158,Private 1-bedroom in College Area,51424363,Filipe,,Rolando,32.75909292720387,-117.06523267974636,Private room,,3,20,2024-03-29,1.08,6,0,9,"STR-07669L, 648865"
904345681531743661,Chic Condo Steps from Petco Park,200455112,Kaden,,Cortez Hill,32.721700618466,-117.15687805785824,Entire home/apt,237,2,46,2024-10-07,2.62,1,5,29,"STR-04138L, 645709"
904346458332638447,New Modern Condo in The Hills | Sleeps 2-4,30322276,Stu,,Midtown,32.737001172226925,-117.1723192221675,Entire home/apt,153,1,141,2024-12-17,7.54,2,362,64,"STR-08225L, 648673"
904376942471256636,Private Rm to Zoo+Downtown+Balboa Park+Convention,94317684,Minh,,Valencia Park,32.7035085,-117.0777685,Private room,49,1,94,2024-10-27,5.21,4,139,64,"STR-05850L, 632565"
904385800335978104,Villa Solamar-Sunset Cliffs Spectacular,46637397,Ken,,Wooded Area,32.72025,-117.25404,Entire home/apt,909,3,39,2024-11-30,2.13,7,322,19,"STR-01741L, 641593"
904448882870800262,Safari Bay Hideaway: home by the bay+yard+spa!,37353287,Nancys,,Bay Park,32.78341920699659,-117.20126756157154,Entire home/apt,189,1,15,2024-10-06,0.84,60,298,8,"STR-07478L, 648812"
904460807079407020,Charming Victorian Second Floor,360950656,Roni,,East Village,32.70366867106026,-117.14743791778046,Private room,87,31,0,,,3,89,0,
904498294254826517,Modern Charm in Vibrant North Park w/ King Bed,443037582,Lauryn,,North Hills,32.74065,-117.12129,Entire home/apt,200,2,104,2024-12-19,5.50,1,185,64,"STR-08095L, 649306"
904525032176807315,A Visit to Grandma's House,92719573,Sharian,,Webster,32.73367560768568,-117.07980398198792,Entire home/apt,,2,10,2024-04-20,0.54,1,0,3,"STR-08227L, 649507"
904549944841149491,Oceanfront condo- with hottub!,62757754,Stay N' Smile,,Cortez Hill,32.720820940075996,-117.1650940330359,Entire home/apt,520,1,0,,,3,269,0,"STR-04602L, 624042"
904596000201975029,"Lux Beach Retreat: King Bed, AC, Parking, Wi-Fi",432939989,James,,Loma Portal,32.74034,-117.23265,Entire home/apt,216,1,52,2024-12-09,2.81,35,159,23,"STR-08382L, 649366"
904647924454688101,La Jolla Suite with Ocean View Patio,482226208,Fer,,La Jolla,32.82213,-117.27911,Private room,249,1,77,2024-12-09,4.16,2,52,54,STR-00371L
904685414716849955,East Village Vibes - Modern Studio,146679080,Nancy,,East Village,32.70927,-117.15338,Entire home/apt,182,2,40,2024-11-11,2.62,12,39,34,"STR-09345L, 651625"
905029246585258415,"Amazing, Newly Designed and Renovated Spanish Apt",125444529,Cody,,Midtown,32.7476679,-117.162479,Entire home/apt,128,2,59,2024-12-09,3.19,44,142,41,"STR-05899L, 646716"
905110917214663323,B5399 Tradewinds La Jolla,38690778,Bluewater Vacation Homes,,La Jolla,32.86067,-117.25451,Entire home/apt,1490,1,11,2024-10-27,0.61,92,268,7,"STR-04361L, 643483"
905171340572533751,Cozy bedroom in San Diego,252381264,Alana,,College Area,32.76527,-117.08213,Private room,40,31,4,2024-12-01,0.38,1,76,4,
905171802895086518,Bay View King Room in San Diego,224976669,Rebecca,,Midtown District,32.71079,-117.23034,Private room,,1,1,2023-07-30,0.06,1,364,0,Exempt
905275809789762506,A Place to Create Lasting Family Memories,82350874,Alex,,Talmadge,32.7594381657002,-117.08504216307247,Entire home/apt,329,2,20,2024-09-08,1.12,3,354,8,"STR-08244L, 649383"
905391586905691792,South of San Diego Home,58792726,Olga,,Egger Highlands,32.5805019,-117.0935433,Entire home/apt,149,31,0,,,1,59,0,
905397546481202136,Spacious Luxury 1BR Apt in Downtown + Views,21110651,Mayra,,East Village,32.711290043418316,-117.15806802454473,Entire home/apt,96,90,3,2024-10-02,0.53,1,64,3,
905472467371036451,Pacific Beach Modern Apt 5 min Walk To The Bay,3252661,Luis,,Pacific Beach,32.79364775554241,-117.24356912076473,Entire home/apt,230,2,31,2024-12-01,1.70,5,7,24,"STR-03735L, 645344"
905764249322009300,"Lux Escape 2: Views, Spa, Games, Safari Tent, Golf",14645243,RentalWithAView,,Midtown,32.73565,-117.17301,Entire home/apt,529,1,32,2024-12-01,1.70,19,258,19,STR-05630L
905764269785123284,"Lux Escape 3: Views, Spa, Games, Safari Tent, Golf",14645243,RentalWithAView,,Midtown,32.73569,-117.17297,Entire home/apt,811,1,31,2024-12-10,1.74,19,258,17,STR-05630L
905764291401265720,"Lux Escape 1: Views, Hot Tub, Games, Safari Tent",14645243,RentalWithAView,,Midtown,32.73518,-117.17448,Entire home/apt,271,2,42,2024-12-15,2.26,19,266,25,"STR-05633L, 646187"
905823713038962567,Moments Away From Concert Venue,16243418,Lukas,,Oak Park,32.73868,-117.0751,Private room,114,1,19,2024-11-03,1.10,1,343,13,"STR-08310L, 648684"
905946835124070292,Stunning Bayside Treasure,3152735,Sylvia,,Mission Bay,32.7901181,-117.2412938,Entire home/apt,300,31,2,2023-09-30,0.12,1,140,0,
905970476940983838,Charming 2 BR/1 BA house SDSU area,71835997,Irina,,El Cerritos,32.7557454,-117.0691404,Entire home/apt,145,1,46,2024-11-24,2.53,6,339,26,"STR-06698L, 645510"
906504681954582678,'The Museum' + Swim Spa,16155084,Michael,,Midtown,32.74655,-117.15264,Entire home/apt,579,3,9,2024-08-04,0.51,1,361,7,"STR-08276L, 649513"
913189707988288743,Gaslamp Condo-Fantastic Location,464088725,Prestige,,Gaslamp Quarter,32.71257,-117.16081,Entire home/apt,267,31,0,,,3,180,0,Exempt
913220617811810387,Tiny Posh Poolhouse,52827487,Vicki,,City Heights West,32.73490825583182,-117.10196838351716,Entire home/apt,84,31,50,2024-11-04,3.44,2,185,37,"STR-07290L, 648509"
913227689895743848,Sunny Gardens,2772383,San Diego,,La Jolla,32.83328,-117.2762,Entire home/apt,466,3,7,2024-09-29,0.40,69,338,5,"STR-02424L, 631246"
913256641557625965,Pacific Beach- Private Balcony - W/D - Pets OK,339697209,Elysian Pads,,Pacific Beach,32.8047095,-117.2340521,Entire home/apt,116,31,3,2024-03-30,0.22,48,365,1,
913276321001944152,Black Mountain Majesty,339697209,Elysian Pads,,Mira Mesa,32.9049507,-117.1247148,Entire home/apt,98,31,1,2023-07-28,0.06,48,365,0,
913284003599687292,"Modern 1 BR, Near Hospitals, Patio, Pets OK",339697209,Elysian Pads,,Grantville,32.782181,-117.111161,Entire home/apt,106,31,1,2024-04-13,0.12,48,318,1,
913298894762219267,"3 Bed Central Townhouse, Garage- W/D- HVAC",339697209,Elysian Pads,,Linda Vista,32.799016,-117.157922,Entire home/apt,193,31,0,,,48,170,0,
913319083595107167,Minimalist 1 bed by Airport & Old Town,4185643,Veena,,Old Town,32.74285,-117.18442,Entire home/apt,114,31,46,2024-12-18,2.52,16,143,35,"STR-09814L, 643987"
913346255387794841,Prime San Diego Location,62491202,Henok,,North Hills,32.75101,-117.13949,Private room,72,31,3,2024-02-12,0.19,2,139,1,
913348655239624934,Pacific Beach Resort Style Condo,36996842,Matthew,,Pacific Beach,32.80384657728022,-117.23703355717157,Entire home/apt,130,31,3,2024-10-31,0.18,1,162,2,
913598658797632555,"Quiet Yet Close To Restaurants, Downtown, Coronado",373744799,Eliseo,,East Village,32.700355035833134,-117.14579845950428,Entire home/apt,,31,2,2023-10-09,0.13,4,112,0,
913618155954748564,Centrally Located 7 Bedroom 3.5 Bath Large Home,14767766,Erol,,College Area,32.77088861822259,-117.0686208988042,Entire home/apt,500,31,0,,,5,205,0,
913672721371518415,Beautiful Views and Location,29659386,David,,Allied Gardens,32.8141742,-117.082973,Entire home/apt,155,31,3,2024-08-07,0.22,1,335,2,
913772876741063674,Classy Retreat 4850B,38285030,Sandra,,Pacific Beach,32.8030759,-117.2537617,Entire home/apt,160,3,42,2024-12-02,2.43,4,296,33,"STR-00926L, 631223"
913862982321036393,Up to 24+ Guests - Two Homes,343589561,Elizabeth,,Loma Portal,32.74935,-117.22431,Entire home/apt,,3,3,2024-11-10,0.20,4,0,2,"STR-04514L, 638751"
913871690453603517,B5367 Oasis Del Mar 5,38690778,Bluewater Vacation Homes,,Torrey Pines,32.93276,-117.25151,Entire home/apt,1119,1,6,2024-09-08,0.33,92,207,3,"STR-03919L, 519795"
913902744275692840,B5405 Oasis Del Mar 4,38690778,Bluewater Vacation Homes,,Del Mar Heights,32.93474,-117.25178,Entire home/apt,864,1,12,2024-10-27,0.72,92,278,8,"STR-03919L, 519795"
914265064748158687,Luxury Bedroom in a Luxury place,435248151,Annette Caroline,,East Village,32.70992,-117.14925,Private room,147,31,0,,,1,365,0,
914520309758806633,Bayside Chic: Stylish Oasis in a Spacious Studio,45483825,Rex,,Mission Bay,32.79215177369835,-117.24473614758968,Entire home/apt,131,3,60,2024-12-08,3.25,9,356,39,"STR-06001L, 646465"
914539958004368724,Riviera Bay Condo on The Sand,520206197,Kim,,Mission Bay,32.78973522639392,-117.24029519638309,Entire home/apt,81,2,49,2024-12-08,2.71,1,342,27,"STR-08315L, 635702"
921008723214704706,Del Mar Modern Private Room & Bath (Shared House),61180449,Jessica,,Sorrento Valley,32.9005871943411,-117.16709124603636,Private room,88,31,0,,,1,178,0,
921012094102779515,"SAN DIEGO, Point Loma Mid Century Coastal",13204116,Dino,,Roseville,32.72771372254019,-117.23603311926126,Private room,135,2,27,2024-12-07,1.50,2,321,16,"STR-07507L, 648852"
921026602835665851,San Diego! Sleeps 12! Walk to Restaurants! 3 decks,479124299,James,,Midtown District,32.72123,-117.23063,Entire home/apt,719,2,62,2024-12-16,3.53,1,288,46,"STR-08470L, 648029"
922169878889167309,Modern Petco Park 2BR with Hot Tub by Downtown,348089487,Kyle,,East Village,32.70392,-117.14973,Entire home/apt,311,2,36,2024-11-03,2.13,59,337,22,"STR-04587L, 645513"
922292077296216433,Private & cozy room in PB!,64303908,Devan,,Pacific Beach,32.80338437248014,-117.2336969475752,Private room,107,1,62,2024-12-15,6.28,1,177,62,STR-08166L
922468294402533684,La Jolla Townhouse steps away from Windansea beach,35981442,Jelena,,La Jolla,32.830077115390445,-117.27713040978486,Entire home/apt,514,3,27,2024-11-30,1.89,1,330,25,"STR-08520L, 649865"
